q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
2.5,2.3354,4.4668,2.2998,30.565,1.8066,17.219,0.271
2.783,1.986,0.8064,1.816,0.027164,0.01029,0.14765,0.007421
2.783,2.0126,0.9624,1.8473,0.042014,0.0094624,0.19455,0.006413
2.783,2.0358,1.1001,1.8748,0.064529,0.01099,0.24188,0.0073682
2.783,2.0592,1.2398,1.9024,0.063059,0.012849,0.3229,0.0078318
2.783,2.0812,1.3719,1.9285,0.080973,0.012395,0.40371,0.0087736
2.783,2.1037,1.5088,1.9553,0.13015,0.018678,0.49173,0.010445
2.783,2.1254,1.6413,1.9811,0.079335,0.018325,0.65818,0.012131
2.783,2.1456,1.7649,2.005,-0.015093,0.029651,0.86022,0.019533
2.783,2.1676,1.9013,2.0313,0.19025,0.027922,0.94021,0.017053
2.783,2.1894,2.0375,2.0574,0.19778,0.027792,1.1712,0.015815
2.783,2.2312,2.3002,2.1074,0.44202,0.035668,1.6518,0.018469
2.783,2.2497,2.4178,2.1296,0.50502,0.047101,1.9389,0.024061
2.783,2.2628,2.5016,2.1454,0.74643,0.065965,2.1263,0.02847
2.783,2.2783,2.6011,2.164,0.71062,0.080671,2.4814,0.034896
2.783,2.2932,2.6975,2.182,1.11,0.10198,2.6631,0.038169
2.783,2.306,2.7801,2.1974,1.3302,0.098298,2.8922,0.039583
2.783,2.3214,2.8801,2.2159,1.2277,0.12915,3.3252,0.044149
2.783,2.3339,2.9623,2.2312,1.9361,0.141,3.5091,0.051771
2.783,2.3462,3.0424,2.2459,2.0839,0.16321,3.7963,0.051634
2.783,2.3609,3.1394,2.2638,2.3717,0.17128,4.2375,0.060635
2.783,2.3748,3.231,2.2806,2.1098,0.16395,4.6942,0.069256
