Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),Ex
6,12,0.25,40,0.075936316,48210,1446.3,16,0.698131701,0.116977778,0.074635
6,12,0.25,40,0.076416316,48910,1467.3,16,0.698131701,0.116977778,0.075115
6,12,0.25,40,0.076896316,46470,1394.1,16,0.698131701,0.116977778,0.075595
6,12,0.25,40,0.077376316,44510,1335.3,16,0.698131701,0.116977778,0.076075
6,12,0.25,40,0.077856316,45590,1367.7,16,0.698131701,0.116977778,0.076555
6,12,0.25,40,0.078336316,40910,1227.3,16,0.698131701,0.116977778,0.077035
6,12,0.25,40,0.078816316,43290,1298.7,16,0.698131701,0.116977778,0.077515
6,12,0.25,40,0.079296316,46500,1395,16,0.698131701,0.116977778,0.077995
6,12,0.25,40,0.079776316,41300,1239,16,0.698131701,0.116977778,0.078475
6,12,0.25,40,0.080256316,38750,1162.5,16,0.698131701,0.116977778,0.078955
6,12,0.25,40,0.080736316,36760,1102.8,16,0.698131701,0.116977778,0.079435
6,12,0.25,40,0.081216316,40310,1209.3,16,0.698131701,0.116977778,0.079915
6,12,0.25,40,0.081697316,42050,1261.5,16,0.698131701,0.116977778,0.080396
6,12,0.25,40,0.082177316,38510,1155.3,16,0.698131701,0.116977778,0.080876
6,12,0.25,40,0.082657316,41640,1249.2,16,0.698131701,0.116977778,0.081356
6,12,0.25,40,0.083137316,36420,1092.6,16,0.698131701,0.116977778,0.081836
6,12,0.25,40,0.083617316,36740,1102.2,16,0.698131701,0.116977778,0.082316
6,12,0.25,40,0.084097316,39020,1170.6,16,0.698131701,0.116977778,0.082796
6,12,0.25,40,0.084577316,38910,1167.3,16,0.698131701,0.116977778,0.083276
6,12,0.25,40,0.085057316,36140,1084.2,16,0.698131701,0.116977778,0.083756
6,12,0.25,40,0.085537316,33180,995.4,16,0.698131701,0.116977778,0.084236
6,12,0.25,40,0.086017316,31710,951.3,16,0.698131701,0.116977778,0.084716
6,12,0.25,40,0.086497316,31850,955.5,16,0.698131701,0.116977778,0.085196
6,12,0.25,40,0.086977316,33070,992.1,16,0.698131701,0.116977778,0.085676
6,12,0.25,40,0.087457316,28240,847.2,16,0.698131701,0.116977778,0.086156
6,12,0.25,40,0.087937316,32060,961.8,16,0.698131701,0.116977778,0.086636
6,12,0.25,40,0.088417316,34980,1049.4,16,0.698131701,0.116977778,0.087116
6,12,0.25,40,0.088897316,31530,945.9,16,0.698131701,0.116977778,0.087596
6,12,0.25,40,0.089378316,31800,954,16,0.698131701,0.116977778,0.088077
6,12,0.25,40,0.089858316,32390,971.7,16,0.698131701,0.116977778,0.088557
6,12,0.25,40,0.090338316,33470,1004.1,16,0.698131701,0.116977778,0.089037
6,12,0.25,40,0.090818316,32980,989.4,16,0.698131701,0.116977778,0.089517
6,12,0.25,40,0.091298316,31800,954,16,0.698131701,0.116977778,0.089997
6,12,0.25,40,0.091778316,30510,915.3,16,0.698131701,0.116977778,0.090477
6,12,0.25,40,0.092258316,27580,827.4,16,0.698131701,0.116977778,0.090957
6,12,0.25,40,0.092738316,28640,859.2,16,0.698131701,0.116977778,0.091437
6,12,0.25,40,0.093218316,30120,903.6,16,0.698131701,0.116977778,0.091917
6,12,0.25,40,0.093698316,31100,933,16,0.698131701,0.116977778,0.092397
6,12,0.25,40,0.094178316,27780,833.4,16,0.698131701,0.116977778,0.092877
6,12,0.25,40,0.094658316,23130,693.9,16,0.698131701,0.116977778,0.093357
6,12,0.25,40,0.095138316,25570,767.1,16,0.698131701,0.116977778,0.093837
6,12,0.25,40,0.095618316,28740,862.2,16,0.698131701,0.116977778,0.094317
6,12,0.25,40,0.096098316,29570,887.1,16,0.698131701,0.116977778,0.094797
6,12,0.25,40,0.096578316,27350,820.5,16,0.698131701,0.116977778,0.095277
6,12,0.25,40,0.097059316,30240,907.2,16,0.698131701,0.116977778,0.095758
6,12,0.25,40,0.097539316,31690,950.7,16,0.698131701,0.116977778,0.096238
6,12,0.25,40,0.098019316,29840,895.2,16,0.698131701,0.116977778,0.096718
